system,body,type,subType,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Segne KN-M c10-6,Segne KN-M c10-6,Star,K (Yellow-Orange) Star,4262,6.975006,0.6846007764198418,0.554688,K6,Va
Myriesly PQ-Z c28-4252,Myriesly PQ-Z c28-4252,Star,K (Yellow-Orange) Star,4864,5.764328,0.917816132278936,0.753906,K2,Va
Nuwo BE-E d13-4,Nuwo BE-E d13-4,Star,F (White) Star,7173,3.378952,1.2655943407620418,1.6875,F2,Vb
Truechoae XP-P d5-7,Truechoae XP-P d5-7,Star,F (White) Star,6820,3.80748,1.1493223982746226,1.402344,F4,Vb
Skaude HQ-Y b45-5,Skaude HQ-Y b45-5,Star,M (Red dwarf) Star,3277,8.461578,0.5840758705966931,0.414063,M2,Va
Blaa Phoe CC-C c29-392,Blaa Phoe CC-C c29-392,Star,K (Yellow-Orange) Star,4743,5.909103,0.9030150625449317,0.761719,K3,Vz
Pyrivo HD-H b2-4,Pyrivo HD-H b2-4,Star,M (Red dwarf) Star,3439,8.502625,0.5204162530553559,0.394531,M1,Va
Athaip LD-K c24-629,Athaip LD-K c24-629,Star,M (Red dwarf) Star,3697,7.723389,0.6446532739036664,0.5625,M0,Va
Hyuqoae CS-E c14-326,Hyuqoae CS-E c14-326,Star,K (Yellow-Orange) Star,5035,5.892395,0.8074950395398993,0.695313,K1,Vab
Dryooe Flyou DG-G b40-63,Dryooe Flyou DG-G b40-63 A,Star,M (Red dwarf) Star,2190,10.832672,0.4389648195542775,0.230469,M8,Va
Syre Thua RV-C c26-1,Syre Thua RV-C c26-1,Star,K (Yellow-Orange) Star,3956,7.349304,0.6688231890726096,0.527344,K8,Va
Smootiae CO-Q b32-4,Smootiae CO-Q b32-4,Star,M (Red dwarf) Star,3111,8.978424,0.5108336908698777,0.355469,M3,Va
Brairee TV-C d13-6430,Brairee TV-C d13-6430,Star,F (White) Star,6122,4.248428,1.1642760373831775,1.15625,F9,Vab
Swoiwns XF-M d8-35,Swoiwns XF-M d8-35,Star,G (White-Yellow) Star,5924,4.670761,1.023681518332135,0.949219,G0,Vb
Eoch Flyuae XR-P a64-0,Eoch Flyuae XR-P a64-0,Star,T (Brown dwarf) Star,707,18.298386,0.11865233069734005,0.039063,T9,V
Pyrivu WB-S d5-14,Pyrivu WB-S d5-14,Star,F (White) Star,7311,3.44487,1.1818542746225738,1.332031,F1,VI
Phraa Hypai ZC-O b24-0,Phraa Hypai ZC-O b24-0,Star,M (Red dwarf) Star,3242,8.460526,0.5970458317757009,0.421875,M2,Va
Gria Gree FS-H d11-9,Gria Gree FS-H d11-9,Star,A (Blue-White) Star,7536,3.301605,1.1881713644859813,1.425781,A9,VI
Byoi Broae GZ-M c8-0,Byoi Broae GZ-M c8-0,Star,K (Yellow-Orange) Star,4651,6.256058,0.8004455614665709,0.804688,K3,Va
Leamuae WF-D c29-466,Leamuae WF-D c29-466,Star,M (Red dwarf) Star,3380,8.166412,0.6289367419122933,0.457031,M1,Va
Pyrivu UU-G a106-3,Pyrivu UU-G a106-3,Star,T (Brown dwarf) Star,901,17.035995,0.1491088655643422,0.046875,T6,V
Qauthai VO-Z c13-2,Qauthai VO-Z c13-2 A,Star,K (Yellow-Orange) Star,5053,6.011902,0.7588195197699497,0.742188,K0,Vab
Qauthai VO-Z c13-2,Qauthai VO-Z c13-2 B,Star,K (Yellow-Orange) Star,4276,6.808517,0.7343139151689432,0.539063,K6,Va
Swuenaa RI-V c5-3,Swuenaa RI-V c5-3,Star,K (Yellow-Orange) Star,4172,6.904404,0.7380675542774982,0.703125,K6,Va
Flyiedge ZS-K b53-5,Flyiedge ZS-K b53-5,Star,M (Red dwarf) Star,2889,9.203308,0.5340880977713874,0.363281,M4,Va
Dumboi UD-B e2143,Dumboi UD-B e2143 A,Star,A (Blue-White) Star,9957,1.757263,1.3858031804457225,2,A0,VI
Dumboi UD-B e2143,Dumboi UD-B e2143 B,Star,A (Blue-White) Star,8552,2.557236,1.2997740215672178,1.699219,A5,VI
Dumboi UD-B e2143,Dumboi UD-B e2143 C,Star,G (White-Yellow) Star,5365,5.505112,0.850036589503954,0.871094,G7,Vab
Bleethai CJ-F d12-93,Bleethai CJ-F d12-93 A,Star,F (White) Star,6688,3.743073,1.2311095212077643,1.398438,F5,Vb
Bleethai CJ-F d12-93,Bleethai CJ-F d12-93 B,Star,G (White-Yellow) Star,5286,5.484375,0.8840331502516175,0.898438,G8,Vab
Pheia Ain AD-E c27-0,Pheia Ain AD-E c27-0,Star,K (Yellow-Orange) Star,4954,5.722366,0.9020385449317038,0.875,K1,Va
Ploi Thua TJ-I d9-1,Ploi Thua TJ-I d9-1 A,Star,A (Blue-White) Star,7854,3.060318,1.2224425132997843,1.605469,A8,VI
Ploi Thua TJ-I d9-1,Ploi Thua TJ-I d9-1 B,Star,K (Yellow-Orange) Star,4546,6.293839,0.8233947375988497,0.757813,K4,Va
Ploi Thua TJ-I d9-1,Ploi Thua TJ-I d9-1 C,Star,M (Red dwarf) Star,3225,8.268723,0.6590575988497483,0.453125,M2,Va
Dryooe Flyou HD-J b52-30,Dryooe Flyou HD-J b52-30,Star,M (Red dwarf) Star,2897,9.139801,0.5469054895758447,0.351563,M4,Va
Col 359 Sector CR-U c16-4,Col 359 Sector CR-U c16-4,Star,K (Yellow-Orange) Star,5157,5.758881,0.818542424155284,0.78125,K0,Vab
Plaa Eurk GV-C b40-0,Plaa Eurk GV-C b40-0 A,Star,T Tauri Star,3365,8.358063,0.5809631056793674,0.371094,TTS1,Va
Plaa Eurk GV-C b40-0,Plaa Eurk GV-C b40-0 B,Star,T Tauri Star,1045,15.564667,0.21823118907260963,0.078125,TTS4,VI
Thuecheae YP-E c28-26,Thuecheae YP-E c28-26,Star,K (Yellow-Orange) Star,4987,5.707153,0.8963927419122933,0.804688,K1,Va
Byeia Eurk AK-X b44-4,Byeia Eurk AK-X b44-4 A,Star,M (Red dwarf) Star,2903,9.248871,0.517974820992092,0.328125,M4,Va
Byeia Eurk AK-X b44-4,Byeia Eurk AK-X b44-4 B,Star,L (Brown dwarf) Star,1390,14.173203,0.23406978576563622,0.113281,L8,V
Byeia Eurk AK-X b44-4,Byeia Eurk AK-X b44-4 C,Star,L (Brown dwarf) Star,1997,11.887085,0.3248901107117182,0.191406,L0,V
Bleae Briae HQ-G d10-16,Bleae Briae HQ-G d10-16,Star,G (White-Yellow) Star,5407,4.832001,1.1408996117900791,1.070313,G7,Vz
Swuenaa HH-S d5-69,Swuenaa HH-S d5-69 A,Star,F (White) Star,6246,4.382126,1.0517272293314162,1.257813,F8,Vb
Swuenaa HH-S d5-69,Swuenaa HH-S d5-69 B,Star,M (Red dwarf) Star,2982,9.029388,0.5430907951114307,0.328125,M4,Va
Swuenaa HH-S d5-69,Swuenaa HH-S d5-69 C,Star,F (White) Star,6122,4.465485,1.0535583378864126,1.160156,F9,Vb
Skaude AG-O b51-1,Skaude AG-O b51-1 A,Star,M (Red dwarf) Star,2564,10.136459,0.44125363623292596,0.269531,M6,Va
Skaude AG-O b51-1,Skaude AG-O b51-1 B,Star,L (Brown dwarf) Star,1397,14.005478,0.2503356779295471,0.117188,L8,V
Skaude AG-O b51-1,Skaude AG-O b51-1 C,Star,M (Red dwarf) Star,2014,11.528091,0.37683103378864125,0.191406,M9,VI
Skaude AG-O b51-1,Skaude AG-O b51-1 D,Star,T (Brown dwarf) Star,1230,14.957336,0.2083434881380302,0.09375,T1,V
Nyauthou CF-D c1-12,Nyauthou CF-D c1-12 A,Star,K (Yellow-Orange) Star,4855,5.763947,0.9213866053199137,0.789063,K2,Va
Nyauthou CF-D c1-12,Nyauthou CF-D c1-12 B,Star,M (Red dwarf) Star,2493,10.349716,0.42309567217828903,0.292969,M7,Va
Truechoae RI-Z c27-7,Truechoae RI-Z c27-7,Star,K (Yellow-Orange) Star,4547,6.37735,0.7919921322789361,0.703125,K4,Va
Blaa Phoe GM-M c23-234,Blaa Phoe GM-M c23-234 A,Star,K (Yellow-Orange) Star,5108,5.40506,0.9819335499640547,0.863281,K0,Va
Blaa Phoe GM-M c23-234,Blaa Phoe GM-M c23-234 B,Star,M (Red dwarf) Star,3409,7.921326,0.6921386513299784,0.476563,M1,Va
Joothee OM-V b3-32,Joothee OM-V b3-32,Star,M (Red dwarf) Star,2588,10.221527,0.4164733515456506,0.289063,M6,Va
Qaugneau TP-G d10-15,Qaugneau TP-G d10-15,Star,F (White) Star,6995,3.586029,1.209808333572969,1.492188,F3,Vb
Hegoea XJ-D b27-1,Hegoea XJ-D b27-1,Star,M (Red dwarf) Star,2312,10.625122,0.4333495672178289,0.226563,M8,Va
Qiedeae NX-K d8-0,Qiedeae NX-K d8-0 A,Star,A (Blue-White) Star,8466,2.3983,1.4270018806613947,1.707031,A6,Vb
Qiedeae NX-K d8-0,Qiedeae NX-K d8-0 B,Star,K (Yellow-Orange) Star,5037,5.826767,0.8316039453630482,0.820313,K1,Vab
Shrogaae HN-B d13-2920,Shrogaae HN-B d13-2920 A,Star,F (White) Star,6052,4.476089,1.0728149302659957,1.078125,F9,Vb
Shrogaae HN-B d13-2920,Shrogaae HN-B d13-2920 B,Star,K (Yellow-Orange) Star,4200,6.613327,0.8327025736879943,0.65625,K6,Va
Shrogaae HN-B d13-2920,Shrogaae HN-B d13-2920 C,Star,M (Red dwarf) Star,2646,9.948212,0.4518432207045291,0.257813,M6,Va
Puwaae DS-W c1-0,Puwaae DS-W c1-0 A,Star,K (Yellow-Orange) Star,4458,6.345947,0.8359374493170381,0.703125,K4,Va
Puwaae DS-W c1-0,Puwaae DS-W c1-0 B,Star,K (Yellow-Orange) Star,3725,8.030258,0.551330553558591,0.4375,K9,Va
Puwaae DS-W c1-0,Puwaae DS-W c1-0 C,Star,M (Red dwarf) Star,2934,9.315659,0.49172971387491016,0.339844,M4,Va
Sutchooe WO-Z d13-38,Sutchooe WO-Z d13-38 A,Star,F (White) Star,6044,4.751862,0.9474181797268152,1.082031,F9,VI
Sutchooe WO-Z d13-38,Sutchooe WO-Z d13-38 B,Star,M (Red dwarf) Star,3236,8.416687,0.61148066139468,0.417969,M2,Va
Eafotls JU-I c9-0,Eafotls JU-I c9-0 A,Star,M (Red dwarf) Star,3503,7.933807,0.6517333486700215,0.503906,M1,Va
Eafotls JU-I c9-0,Eafotls JU-I c9-0 B,Star,M (Red dwarf) Star,2133,11.195374,0.3915710481667865,0.203125,M9,VI
Eafotls JU-I c9-0,Eafotls JU-I c9-0 C,Star,T (Brown dwarf) Star,876,17.136124,0.15063474335010785,0.050781,T7,V
Reangu FL-W d2-6,Reangu FL-W d2-6 A,Star,F (White) Star,7241,3.525467,1.1609190510424154,1.417969,F1,VI
Reangu FL-W d2-6,Reangu FL-W d2-6 B,Star,G (White-Yellow) Star,5324,5.452057,0.8845214090582315,0.757813,G8,Vab
Prua Hypa MW-N d6-0,Prua Hypa MW-N d6-0 A,Star,Neutron Star,6045254,5.046799,1.8495012580877066e-05,0.480469,None,VII
Prua Hypa MW-N d6-0,Prua Hypa MW-N d6-0 B,Star,M (Red dwarf) Star,2669,9.80162,0.4750976276060388,0.277344,M6,Va
Nyauthou YY-E c10,Nyauthou YY-E c10,Star,K (Yellow-Orange) Star,3726,7.853409,0.5977782659956865,0.503906,K9,Va
Striechae NA-C d14-20,Striechae NA-C d14-20,Star,A (Blue-White) Star,8206,2.743118,1.2958983177570094,1.710938,A7,VI
Striechae NA-C d14-20,Striechae NA-C d14-20 1,Star,Y (Brown dwarf) Star,411,22.308426,0.07748412365204889,0.015625,Y4,V
Pyrivo RT-C b5-2,Pyrivo RT-C b5-2,Star,M (Red dwarf) Star,2171,10.89679,0.43368530265995686,0.226563,M8,Va
Gru Hypue PD-S d4-37,Gru Hypue PD-S d4-37,Star,G (White-Yellow) Star,5946,4.660873,1.020751873472322,1.027344,G0,Vb
Bleae Thua PZ-A b41-2,Bleae Thua PZ-A b41-2,Star,M (Red dwarf) Star,3662,7.928452,0.5978393213515456,0.421875,M0,Va
Pyuefoea PE-B b4-1,Pyuefoea PE-B b4-1 A,Star,M (Red dwarf) Star,3255,8.623734,0.5494079309849029,0.425781,M2,Va
Pyuefoea PE-B b4-1,Pyuefoea PE-B b4-1 B,Star,M (Red dwarf) Star,2573,9.985565,0.469696,0.261719,M6,Va
Gria Gree AQ-R b10-0,Gria Gree AQ-R b10-0,Star,M (Red dwarf) Star,3114,8.44281,0.65243527821711,0.445313,M3,Va
Hegoo SY-I d9-0,Hegoo SY-I d9-0,Star,G (White-Yellow) Star,5741,4.884445,0.9878844917325665,0.902344,G3,Vab
Pyria Thua UO-I d9-1,Pyria Thua UO-I d9-1 A,Star,F (White) Star,7159,3.406189,1.254730168224299,1.4375,F2,Vb
Pyria Thua UO-I d9-1,Pyria Thua UO-I d9-1 B,Star,K (Yellow-Orange) Star,4249,6.85379,0.7283324687275341,0.546875,K6,Va
Pyria Thua UO-I d9-1,Pyria Thua UO-I d9-1 C,Star,M (Red dwarf) Star,2181,11.048843,0.40066525952552123,0.199219,M8,Va
Seagull Sector VD-T b3-0,Seagull Sector VD-T b3-0 A,Star,T Tauri Star,2224,10.526093,0.4901733314162473,0.285156,TTS8,Va
Seagull Sector VD-T b3-0,Seagull Sector VD-T b3-0 B,Star,T Tauri Star,1339,14.404953,0.22671507692307694,0.082031,TTS9,VI
Truechoae WY-S b3-13,Truechoae WY-S b3-13 A,Star,M (Red dwarf) Star,3352,8.483307,0.552673311286844,0.441406,M2,Va
Truechoae WY-S b3-13,Truechoae WY-S b3-13 B,Star,M (Red dwarf) Star,2493,10.35379,0.422302228612509,0.28125,M7,Va
Truechoae WY-S b3-13,Truechoae WY-S b3-13 C,Star,M (Red dwarf) Star,2520,9.952011,0.49728391085549967,0.308594,M6,Va
Truechoae WY-S b3-13,Truechoae WY-S b3-13 D,Star,L (Brown dwarf) Star,1660,13.008224,0.28060910424155283,0.136719,L4,V
Hegeia ZP-G d10-7,Hegeia ZP-G d10-7,Star,F (White) Star,7141,3.147354,1.4206541480948958,1.667969,F2,Vab
Pyuefoea WI-O c8-1,Pyuefoea WI-O c8-1,Star,K (Yellow-Orange) Star,3891,7.507919,0.6426696879942487,0.503906,K8,Va
Eoch Flyi AA-A h46,Eoch Flyi AA-A h46 A,Star,Wolf-Rayet O Star,55403,-9.170013,6.852019807332854,106.601563,None,I
Eoch Flyi AA-A h46,Eoch Flyi AA-A h46 B,Star,Wolf-Rayet C Star,3418,3.222061,5.991485469446442,54.117188,None,I
Eoch Flyi AA-A h46,Eoch Flyi AA-A h46 C,Star,B (Blue-White) Star,32976,-14.535889,228.7729604370956,51.066406,B0,IVa
Blae Drye NU-R b10-2,Blae Drye NU-R b10-2,Star,M (Red dwarf) Star,3430,8.396622,0.5493163709561466,0.4375,M1,Va
Gria Gree UF-L d9-0,Gria Gree UF-L d9-0 A,Star,F (White) Star,6829,3.661728,1.2258605089863408,1.59375,F4,Vb
Gria Gree UF-L d9-0,Gria Gree UF-L d9-0 B,Star,K (Yellow-Orange) Star,5136,5.393768,0.976318297627606,0.933594,K0,Va
Segne HH-S d5-37,Segne HH-S d5-37,Star,K (Yellow-Orange) Star,5105,5.384857,0.9922790050323508,0.8125,K0,Va
Byua Chrea OA-A d124,Byua Chrea OA-A d124,Star,L (Brown dwarf) Star,1597,13.199585,0.27761840402588067,0.132813,L5,V
Thuechu DE-S b10-4,Thuechu DE-S b10-4,Star,M (Red dwarf) Star,2495,10.082352,0.4777526383896477,0.308594,M7,Va
Ploi Thua TU-X c14-7,Ploi Thua TU-X c14-7 A,Star,K (Yellow-Orange) Star,3833,7.429306,0.6866759683680805,0.605469,K9,Va
Ploi Thua TU-X c14-7,Ploi Thua TU-X c14-7 B,Star,M (Red dwarf) Star,2591,10.164429,0.42657467721063985,0.261719,M6,Va
Stuelou ZN-D c27-70,Stuelou ZN-D c27-70,Star,K (Yellow-Orange) Star,4371,6.957672,0.6560973572969087,0.574219,K5,Vab
Blu Thua IM-U b33-0,Blu Thua IM-U b33-0,Star,M (Red dwarf) Star,2893,9.18779,0.5364379698058951,0.324219,M4,Va
Cryaft KB-X d1-3,Cryaft KB-X d1-3 A,Star,A (Blue-White) Star,7519,2.88089,1.448669308411215,1.632813,A9,Vb
Cryaft KB-X d1-3,Cryaft KB-X d1-3 B,Star,G (White-Yellow) Star,5296,5.675232,0.8066100819554277,0.785156,G8,Vab
Cryaft KB-X d1-3,Cryaft KB-X d1-3 C,Star,G (White-Yellow) Star,5209,5.488174,0.908782884255931,0.808594,G9,Vab
Smootoae XU-I b50-16,Smootoae XU-I b50-16 A,Star,M (Red dwarf) Star,2418,10.43927,0.4315795600287563,0.285156,M7,Va
Smootoae XU-I b50-16,Smootoae XU-I b50-16 B,Star,L (Brown dwarf) Star,1660,13.20256,0.2565917814521927,0.117188,L4,V
Oochost YY-S b23-0,Oochost YY-S b23-0 A,Star,M (Red dwarf) Star,3277,8.497742,0.5744322990654206,0.402344,M2,Va
Oochost YY-S b23-0,Oochost YY-S b23-0 B,Star,M (Red dwarf) Star,2036,11.49324,0.37469480948957584,0.179688,M9,VI
Theema WR-A d14-841,Theema WR-A d14-841,Star,F (White) Star,7097,3.598618,1.1684874306254494,1.214844,F2,VI
Stuemeae SO-Z c3138,Stuemeae SO-Z c3138,Star,K (Yellow-Orange) Star,4491,6.465271,0.7796629992810927,0.679688,K4,
Plaa Briae HU-K b8-0,Plaa Briae HU-K b8-0 A,Star,M (Red dwarf) Star,2418,10.258698,0.4689941164629763,0.273438,M7,Va
Plaa Briae HU-K b8-0,Plaa Briae HU-K b8-0 B,Star,L (Brown dwarf) Star,1788,12.353683,0.32693477498202733,0.175781,L3,V
Truechou BA-A d153,Truechou BA-A d153,Star,F (White) Star,6522,4.06665,1.1153869388928828,1.101563,F6,Vb
Blua Eaec NA-D d13-971,Blua Eaec NA-D d13-971 A,Star,F (White) Star,7206,3.43399,1.2226560920201295,1.605469,F1,VI
Blua Eaec NA-D d13-971,Blua Eaec NA-D d13-971 B,Star,K (Yellow-Orange) Star,4911,5.733002,0.9134216189791516,0.894531,K1,Va
Blua Eaec NA-D d13-971,Blua Eaec NA-D d13-971 C,Star,K (Yellow-Orange) Star,4160,6.996399,0.7115477670740474,0.546875,K6,Va
Blua Eaec NA-D d13-971,Blua Eaec NA-D d13-971 D,Star,K (Yellow-Orange) Star,4942,6.025192,0.7884521179007908,0.6875,K1,Vab
Sutchae CO-D b12-3,Sutchae CO-D b12-3 A,Star,M (Red dwarf) Star,2225,10.908478,0.41067502516175414,0.226563,M8,Va
Sutchae CO-D b12-3,Sutchae CO-D b12-3 B,Star,L (Brown dwarf) Star,1906,12.042267,0.3320617455068296,0.167969,L1,V
Sutchae CO-D b12-3,Sutchae CO-D b12-3 C,Star,L (Brown dwarf) Star,1610,13.418091,0.2470092652767793,0.113281,L5,V
Sutchae CO-D b12-3,Sutchae CO-D b12-3 D,Star,M (Red dwarf) Star,2004,11.701813,0.35134884255930987,0.207031,M9,VI
Pyra Dryiae YB-K c25-1,Pyra Dryiae YB-K c25-1 A,Star,K (Yellow-Orange) Star,4221,6.901901,0.7218627634795112,0.675781,K6,Va
Pyra Dryiae YB-K c25-1,Pyra Dryiae YB-K c25-1 B,Star,L (Brown dwarf) Star,1919,11.679855,0.38705442415528396,0.191406,L1,V
Segne EB-Q c8-2,Segne EB-Q c8-2,Star,K (Yellow-Orange) Star,3916,7.544037,0.6240233731128685,0.554688,K8,Va
Byoomao LS-S c20-5214,Byoomao LS-S c20-5214 A,Star,K (Yellow-Orange) Star,4756,6.173035,0.7953185679367362,0.664063,K2,Vab
Byoomao LS-S c20-5214,Byoomao LS-S c20-5214 B,Star,M (Red dwarf) Star,2916,9.285065,0.5048827951114306,0.289063,M4,Va
Swoiwns XF-M d8-4,Swoiwns XF-M d8-4,Star,A (Blue-White) Star,8144,2.659317,1.3674620043134436,1.636719,A7,Vb
Stuelou DR-A c15-67,Stuelou DR-A c15-67,Star,K (Yellow-Orange) Star,4916,5.89769,0.8450011560028756,0.863281,K1,Vab
Smootoae CP-M b48-13,Smootoae CP-M b48-13,Star,M (Red dwarf) Star,2800,9.727707,0.4466247591660676,0.285156,M5,Va
Prae Flyi GC-B d14-153,Prae Flyi GC-B d14-153 A,Star,L (Brown dwarf) Star,1758,12.735794,0.2836303551401869,0.152344,L3,V
Pyrivo ZV-C d131,Pyrivo ZV-C d131,Star,A (Blue-White) Star,7740,2.973831,1.3098448885693745,1.402344,A9,Vb
Cheae Euq PD-K d8-0,Cheae Euq PD-K d8-0 A,Star,F (White) Star,6260,4.575455,0.9578857455068296,1,F8,Vb
Cheae Euq PD-K d8-0,Cheae Euq PD-K d8-0 B,Star,M (Red dwarf) Star,3107,8.617935,0.6046142113587347,0.398438,M3,Va
Cheae Euq PD-K d8-0,Cheae Euq PD-K d8-0 C,Star,T (Brown dwarf) Star,1058,15.572586,0.2121276779295471,0.078125,T4,V
Gru Hypai PO-O d7-374,Gru Hypai PO-O d7-374 A,Star,F (White) Star,6314,4.448044,0.9984740762041696,1.039063,F7,VI
Bleae Briae ZC-W b15-8,Bleae Briae ZC-W b15-8,Star,M (Red dwarf) Star,3374,8.56662,0.5249633817397555,0.386719,M1,Va
Nyuena QY-A e284,Nyuena QY-A e284,Star,T Tauri Star,4265,6.67894,0.7834776937455068,0.59375,TTS6,Va
Bleae Briae JR-N d6-3,Bleae Briae JR-N d6-3,Star,K (Yellow-Orange) Star,5009,5.462387,0.9945372710280374,0.902344,K1,Va
Byoomao GN-N c9-4667,Byoomao GN-N c9-4667 A,Star,K (Yellow-Orange) Star,4799,5.725418,0.9598998820992092,0.835938,K2,Va
Byoomao GN-N c9-4667,Byoomao GN-N c9-4667 B,Star,M (Red dwarf) Star,3636,7.835312,0.6329955197699497,0.503906,M0,Va
Byoomao GN-N c9-4667,Byoomao GN-N c9-4667 C,Star,M (Red dwarf) Star,3115,8.758163,0.5639037699496765,0.378906,M3,Va
Dryio Flyuae WQ-D b2,Dryio Flyuae WQ-D b2 A,Star,M (Red dwarf) Star,3255,8.975815,0.46719355859094175,0.347656,M2,Va
Dryio Flyuae WQ-D b2,Dryio Flyuae WQ-D b2 B,Star,M (Red dwarf) Star,2915,9.537903,0.44970701941049607,0.300781,M4,Va
Pyurks DK-G c27-6,Pyurks DK-G c27-6,Star,K (Yellow-Orange) Star,4301,6.795776,0.7300719712437096,0.691406,K5,Vab
Stuemeae RY-A d7619,Stuemeae RY-A d7619,Star,G (White-Yellow) Star,5845,4.926376,0.9348143666427031,1.0625,G1,Vb
Greae Hypai CH-S d5-427,Greae Hypai CH-S d5-427,Star,G (White-Yellow) Star,5803,4.96579,0.9313353616103522,1,G2,Vb
Thuechu GS-G b2-0,Thuechu GS-G b2-0 A,Star,M (Red dwarf) Star,2536,10.095871,0.4595641696621136,0.304688,M6,Va
Nyauthou ZA-P b25-0,Nyauthou ZA-P b25-0 A,Star,M (Red dwarf) Star,2236,11.009216,0.38821406182602447,0.230469,M8,Va
Nyauthou ZA-P b25-0,Nyauthou ZA-P b25-0 B,Star,L (Brown dwarf) Star,1958,12.143326,0.30035400143781454,0.160156,L0,V
Stuemeae ZQ-C d7147,Stuemeae ZQ-C d7147 A,Star,F (White) Star,6723,4.033524,1.065826369518332,1.109375,F5,Vb
Stuemeae ZQ-C d7147,Stuemeae ZQ-C d7147 B,Star,K (Yellow-Orange) Star,3744,7.84227,0.5950927505391804,0.460938,K9,Va
Gria Gree HN-V a84-1,Gria Gree HN-V a84-1,Star,T (Brown dwarf) Star,762,18.072769,0.11972044284687275,0.039063,T8,V
Bleae Thua NX-J b22-6,Bleae Thua NX-J b22-6,Star,M (Red dwarf) Star,3104,8.96022,0.5174560115025162,0.324219,M3,Va
Croomoi QT-R e4-660,Croomoi QT-R e4-660,Star,Neutron Star,2458639,5.110184,1.1182377785765637e-05,2.191406,None,VII
Croomoi QT-R e4-660,Croomoi QT-R e4-660 3,Star,Y (Brown dwarf) Star,422,21.569778,0.0695800718907261,0.015625,Y3,V
Dryaa Pri CX-F c911,Dryaa Pri CX-F c911 A,Star,K (Yellow-Orange) Star,4836,5.753799,0.9329833501078361,0.878906,K2,Va
Drootie WG-C c29-10,Drootie WG-C c29-10,Star,M (Red dwarf) Star,3652,7.718185,0.6622313731128684,0.5,M0,Va
Bleae Briae AY-P b46-0,Bleae Briae AY-P b46-0,Star,M (Red dwarf) Star,3160,8.679703,0.568115209202013,0.371094,M3,Va
Clookuia JY-T c19-8,Clookuia JY-T c19-8 A,Star,G (White-Yellow) Star,5278,5.609222,0.8371886470165348,0.789063,G9,Vab
Slegi IL-F c14-1,Slegi IL-F c14-1,Star,K (Yellow-Orange) Star,4347,6.639862,0.7678832724658519,0.730469,K5,Va
Hegoea LC-H b25-2,Hegoea LC-H b25-2 A,Star,M (Red dwarf) Star,2982,8.953491,0.5624083968368081,0.398438,M4,Va
Hegoea LC-H b25-2,Hegoea LC-H b25-2 B,Star,M (Red dwarf) Star,2335,10.580597,0.433654751976995,0.25,M8,Va
Hegoea LC-H b25-2,Hegoea LC-H b25-2 C,Star,M (Red dwarf) Star,2421,10.403549,0.43765256649892165,0.28125,M7,Va
Dryaa Pri CX-F c86,Dryaa Pri CX-F c86,Star,K (Yellow-Orange) Star,4088,7.011963,0.731567344356578,0.542969,K7,Va
Blaa Byoea EH-K c25-2,Blaa Byoea EH-K c25-2 A,Star,K (Yellow-Orange) Star,4107,7.015335,0.7236937800143781,0.6875,K7,Va
Blaa Byoea EH-K c25-2,Blaa Byoea EH-K c25-2 B,Star,M (Red dwarf) Star,3543,8.214111,0.5599670107836089,0.429688,M0,Va
Blaa Byoea EH-K c25-2,Blaa Byoea EH-K c25-2 C,Star,M (Red dwarf) Star,2317,10.705856,0.4157409633357297,0.21875,M8,Va
Pyriveae QF-E d12-7,Pyriveae QF-E d12-7,Star,G (White-Yellow) Star,5625,4.775772,1.0818175355859094,0.996094,G4,Vab
Hypoe Bluae QN-B d5173,Hypoe Bluae QN-B d5173,Star,F (White) Star,6967,3.520081,1.2571410035945363,1.339844,F3,Vb
Thailooe IF-A c29-0,Thailooe IF-A c29-0 A,Star,K (Yellow-Orange) Star,5051,5.411438,1.001251151689432,0.882813,K0,Va
Thailooe IF-A c29-0,Thailooe IF-A c29-0 B,Star,M (Red dwarf) Star,3638,7.523743,0.7298278418404026,0.519531,M0,Va
Athaip SZ-H c25-2455,Athaip SZ-H c25-2455,Star,K (Yellow-Orange) Star,4377,6.730225,0.7265319108554996,0.621094,K5,Va
Blae Drye ZD-T c6-17,Blae Drye ZD-T c6-17 A,Star,K (Yellow-Orange) Star,4294,6.756516,0.7458190539180446,0.585938,K6,Va
Blae Drye ZD-T c6-17,Blae Drye ZD-T c6-17 B,Star,M (Red dwarf) Star,2611,9.752411,0.5078124859813085,0.324219,M6,Va
Blae Drye FU-I b15-4,Blae Drye FU-I b15-4,Star,M (Red dwarf) Star,2469,10.644135,0.3766784644140906,0.230469,M7,Va
Drojao ID-U b9-4,Drojao ID-U b9-4 A,Star,T Tauri Star,2416,10.099777,0.5054321092739037,0.300781,TTS7,Va
Drojao ID-U b9-4,Drojao ID-U b9-4 B,Star,T Tauri Star,2043,11.096771,0.44665526383896476,0.25,TTS9,VI
Drojao ID-U b9-4,Drojao ID-U b9-4 C,Star,T Tauri Star,1084,15.578018,0.20156859813084113,0.070313,TTS3,VI
Synuefai YI-B d0,Synuefai YI-B d0,Star,F (White) Star,6890,3.891052,1.0835876347951114,1.277344,F4,VI
Mylaifa ZG-C d13-4458,Mylaifa ZG-C d13-4458 A,Star,F (White) Star,7039,3.673126,1.1477660618260244,1.421875,F3,Vb
